budget,baseline_tokens,adaptive_tokens,baseline_nodes,adaptive_nodes,baseline_files,adaptive_files,coverage,baseline_coverage,execution_time_ms,ccr,token_reduction_pct,skipped_nodes,extra_nodes
100,1322.0,88.0,31,1,3,1,0.16666666666666666,0.16666666666666666,4.064585000378429,0.06656580937972768,93.34341906202724,4,0
200,1322.0,168.0,31,1,3,1,0.16666666666666666,0.16666666666666666,1.892676999887044,0.12708018154311648,87.29198184568835,2,0
500,1322.0,353.0,31,4,3,2,0.3333333333333333,0.3333333333333333,3.78537399956258,0.2670196671709531,73.2980332829047,1,0
1000,1322.0,946.0,31,21,3,3,0.6666666666666666,0.6666666666666666,21.864940999876126,0.7155824508320726,28.44175491679274,2,0
2000,1322.0,1322.0,31,30,3,3,0.8333333333333334,0.8333333333333334,31.054025000230467,1.0,0.0,1,0
5000,1322.0,1322.0,31,30,3,3,0.8333333333333334,0.8333333333333334,30.670082999677106,1.0,0.0,1,0
10000,1322.0,1322.0,31,30,3,3,0.8333333333333334,0.8333333333333334,31.031315000291215,1.0,0.0,1,0
